zone_id,timestamp,hour,day_of_week,is_weekend,temp_c,demand_m3
Z1,2025-01-01 00:00:00,0,2,0,15.75,138.07
Z1,2025-01-01 01:00:00,1,2,0,16.06,148.49
Z1,2025-01-01 02:00:00,2,2,0,14.82,136.84
Z1,2025-01-01 03:00:00,3,2,0,17.63,147.69
Z1,2025-01-01 04:00:00,4,2,0,14.64,146.75
Z1,2025-01-01 05:00:00,5,2,0,14.74,148.08
Z1,2025-01-01 06:00:00,6,2,0,15.89,148.89
Z1,2025-01-01 07:00:00,7,2,0,13.02,157.25
Z1,2025-01-01 08:00:00,8,2,0,14.18,160.2
Z1,2025-01-01 09:00:00,9,2,0,14.42,142.02
Z1,2025-01-01 10:00:00,10,2,0,18.07,146.26
Z1,2025-01-01 11:00:00,11,2,0,16.06,132.67
Z1,2025-01-01 12:00:00,12,2,0,15.23,139.48
Z1,2025-01-01 13:00:00,13,2,0,14.41,139.99
Z1,2025-01-01 14:00:00,14,2,0,15.32,137.88
Z1,2025-01-01 15:00:00,15,2,0,15.4,152.98
Z1,2025-01-01 16:00:00,16,2,0,16.37,140.66
Z1,2025-01-01 17:00:00,17,2,0,17.71,146.75
Z1,2025-01-01 18:00:00,18,2,0,16.88,146.39
Z1,2025-01-01 19:00:00,19,2,0,14.66,158.77
Z1,2025-01-01 20:00:00,20,2,0,17.84,160.34
Z1,2025-01-01 21:00:00,21,2,0,16.65,151.0
Z1,2025-01-01 22:00:00,22,2,0,14.69,140.67
Z1,2025-01-01 23:00:00,23,2,0,16.3,149.29
Z1,2025-01-02 00:00:00,0,3,0,17.59,130.55
Z1,2025-01-02 01:00:00,1,3,0,17.65,138.95
Z1,2025-01-02 02:00:00,2,3,0,16.23,143.61
Z1,2025-01-02 03:00:00,3,3,0,18.88,150.18
Z1,2025-01-02 04:00:00,4,3,0,16.16,143.46
Z1,2025-01-02 05:00:00,5,3,0,18.0,160.64
Z1,2025-01-02 06:00:00,6,3,0,16.87,160.43
Z1,2025-01-02 07:00:00,7,3,0,16.01,157.04
Z1,2025-01-02 08:00:00,8,3,0,18.98,172.21
Z1,2025-01-02 09:00:00,9,3,0,17.73,160.48
Z1,2025-01-02 10:00:00,10,3,0,18.47,144.21
Z1,2025-01-02 11:00:00,11,3,0,18.55,153.44
Z1,2025-01-02 12:00:00,12,3,0,18.04,151.58
Z1,2025-01-02 13:00:00,13,3,0,14.24,142.47
Z1,2025-01-02 14:00:00,14,3,0,18.39,141.52
Z1,2025-01-02 15:00:00,15,3,0,18.48,133.63
Z1,2025-01-02 16:00:00,16,3,0,18.09,151.21
Z1,2025-01-02 17:00:00,17,3,0,20.72,154.58
Z1,2025-01-02 18:00:00,18,3,0,17.37,155.73
Z1,2025-01-02 19:00:00,19,3,0,20.04,166.02
Z1,2025-01-02 20:00:00,20,3,0,17.95,162.52
Z1,2025-01-02 21:00:00,21,3,0,18.97,161.4
Z1,2025-01-02 22:00:00,22,3,0,17.85,146.82
Z1,2025-01-02 23:00:00,23,3,0,18.4,136.68
