pipe_id,timestamp,flow_in_lps,flow_out_lps,pressure_bar,leak_label,pipe_length_km
P001,2025-03-01 00:00:00,39.66,39.05,4.77,0,2.59
P001,2025-03-01 01:00:00,47.13,46.01,4.83,0,2.59
P001,2025-03-01 02:00:00,48.3,47.43,4.62,0,2.59
P001,2025-03-01 03:00:00,56.43,55.0,5.07,0,2.59
P001,2025-03-01 04:00:00,65.91,64.81,4.82,0,2.59
P001,2025-03-01 05:00:00,73.81,72.27,4.8,0,2.59
P001,2025-03-01 06:00:00,65.56,63.99,4.85,0,2.59
P001,2025-03-01 07:00:00,82.45,80.49,4.88,0,2.59
P001,2025-03-01 08:00:00,73.2,71.69,4.9,0,2.59
P001,2025-03-01 09:00:00,62.22,60.91,4.76,0,2.59
P001,2025-03-01 10:00:00,59.36,57.73,4.37,0,2.59
P001,2025-03-01 11:00:00,51.27,50.72,4.81,0,2.59
P001,2025-03-01 12:00:00,48.88,47.54,4.96,0,2.59
P001,2025-03-01 13:00:00,52.04,51.35,4.7,0,2.59
P001,2025-03-01 14:00:00,57.63,56.83,4.68,0,2.59
P001,2025-03-01 15:00:00,49.62,48.83,4.82,0,2.59
P001,2025-03-01 16:00:00,53.72,52.49,4.67,0,2.59
P001,2025-03-01 17:00:00,66.36,64.93,4.7,0,2.59
P001,2025-03-01 18:00:00,87.2,85.51,4.8,0,2.59
P001,2025-03-01 19:00:00,73.37,72.56,4.65,0,2.59
P001,2025-03-01 20:00:00,73.43,72.5,4.45,0,2.59
P001,2025-03-01 21:00:00,71.96,71.1,4.5,0,2.59
P001,2025-03-01 22:00:00,61.5,59.83,4.71,0,2.59
P001,2025-03-01 23:00:00,58.87,57.19,4.75,0,2.59
P001,2025-03-02 00:00:00,52.36,51.81,5.04,0,2.59
P001,2025-03-02 01:00:00,54.33,53.14,4.7,0,2.59
P001,2025-03-02 02:00:00,46.42,45.56,4.71,0,2.59
P001,2025-03-02 03:00:00,49.15,47.69,4.76,0,2.59
P001,2025-03-02 04:00:00,60.15,58.9,4.53,0,2.59
P001,2025-03-02 05:00:00,68.49,66.97,4.97,0,2.59
P001,2025-03-02 06:00:00,76.7,74.58,4.68,0,2.59
P001,2025-03-02 07:00:00,83.59,82.17,4.72,0,2.59
P001,2025-03-02 08:00:00,75.99,74.45,4.91,0,2.59
P001,2025-03-02 09:00:00,63.57,62.91,4.88,0,2.59
P001,2025-03-02 10:00:00,52.25,50.92,5.06,0,2.59
P001,2025-03-02 11:00:00,49.63,48.21,4.75,0,2.59
P001,2025-03-02 12:00:00,58.24,56.87,4.53,0,2.59
P001,2025-03-02 13:00:00,48.48,47.81,4.86,0,2.59
P001,2025-03-02 14:00:00,43.35,42.2,4.81,0,2.59
P001,2025-03-02 15:00:00,56.68,55.84,4.18,0,2.59
P001,2025-03-02 16:00:00,50.63,49.75,4.44,0,2.59
P001,2025-03-02 17:00:00,55.84,55.28,4.78,0,2.59
P001,2025-03-02 18:00:00,68.11,67.25,4.51,0,2.59
P001,2025-03-02 19:00:00,78.91,76.85,4.96,0,2.59
P001,2025-03-02 20:00:00,78.65,77.19,4.75,0,2.59
P001,2025-03-02 21:00:00,56.46,55.04,4.51,0,2.59
P001,2025-03-02 22:00:00,54.19,53.26,4.64,0,2.59
P001,2025-03-02 23:00:00,61.74,60.16,4.79,0,2.59
P001,2025-03-03 00:00:00,50.19,49.28,4.76,0,2.59
P001,2025-03-03 01:00:00,54.89,54.12,4.87,0,2.59
P001,2025-03-03 02:00:00,51.3,50.09,4.91,0,2.59
P001,2025-03-03 03:00:00,51.45,50.34,4.86,0,2.59
P001,2025-03-03 04:00:00,65.05,64.34,4.88,0,2.59
P001,2025-03-03 05:00:00,63.04,61.88,4.71,0,2.59
P001,2025-03-03 06:00:00,67.38,65.71,4.54,0,2.59
P001,2025-03-03 07:00:00,78.56,76.31,4.75,0,2.59
P001,2025-03-03 08:00:00,78.17,76.66,4.54,0,2.59
P001,2025-03-03 09:00:00,67.24,66.47,4.89,0,2.59
P001,2025-03-03 10:00:00,60.7,59.52,4.82,0,2.59
P001,2025-03-03 11:00:00,54.27,43.54,4.26,1,2.59
P001,2025-03-03 12:00:00,54.74,53.31,4.61,0,2.59
P001,2025-03-03 13:00:00,48.42,47.87,4.74,0,2.59
P001,2025-03-03 14:00:00,60.49,59.15,4.79,0,2.59
P001,2025-03-03 15:00:00,56.41,55.44,4.68,0,2.59
P001,2025-03-03 16:00:00,68.55,66.62,4.76,0,2.59
P001,2025-03-03 17:00:00,71.27,70.18,5.2,0,2.59
P001,2025-03-03 18:00:00,66.43,65.19,4.72,0,2.59
P001,2025-03-03 19:00:00,88.47,86.99,4.76,0,2.59
P001,2025-03-03 20:00:00,69.71,67.95,4.9,0,2.59
P001,2025-03-03 21:00:00,64.66,63.57,4.7,0,2.59
P001,2025-03-03 22:00:00,51.3,50.48,4.42,0,2.59
P001,2025-03-03 23:00:00,57.06,56.11,4.67,0,2.59
P001,2025-03-04 00:00:00,53.05,51.63,4.79,0,2.59
P001,2025-03-04 01:00:00,50.66,49.37,4.37,0,2.59
P001,2025-03-04 02:00:00,50.01,48.74,4.61,0,2.59
P001,2025-03-04 03:00:00,49.3,48.21,4.48,0,2.59
P001,2025-03-04 04:00:00,52.18,51.49,4.74,0,2.59
P001,2025-03-04 05:00:00,76.37,75.29,5.07,0,2.59
P001,2025-03-04 06:00:00,72.03,70.82,4.87,0,2.59
P001,2025-03-04 07:00:00,86.66,85.01,4.64,0,2.59
P001,2025-03-04 08:00:00,79.98,77.81,4.91,0,2.59
P001,2025-03-04 09:00:00,60.6,59.51,4.81,0,2.59
P001,2025-03-04 10:00:00,54.24,53.65,4.82,0,2.59
P001,2025-03-04 11:00:00,53.93,52.59,4.49,0,2.59
P001,2025-03-04 12:00:00,47.86,46.84,4.62,0,2.59
P001,2025-03-04 13:00:00,56.52,54.99,4.73,0,2.59
P001,2025-03-04 14:00:00,47.6,46.47,4.83,0,2.59
P001,2025-03-04 15:00:00,53.57,52.09,4.77,0,2.59
P001,2025-03-04 16:00:00,59.09,58.07,5.06,0,2.59
P001,2025-03-04 17:00:00,67.2,65.44,4.85,0,2.59
P001,2025-03-04 18:00:00,77.24,75.83,4.73,0,2.59
P001,2025-03-04 19:00:00,80.79,79.04,4.87,0,2.59
P001,2025-03-04 20:00:00,61.64,60.41,4.63,0,2.59
P001,2025-03-04 21:00:00,65.9,64.07,4.75,0,2.59
P001,2025-03-04 22:00:00,56.87,55.54,4.8,0,2.59
P001,2025-03-04 23:00:00,53.42,52.73,4.73,0,2.59
P001,2025-03-05 00:00:00,48.25,47.1,4.71,0,2.59
P001,2025-03-05 01:00:00,45.28,43.97,4.79,0,2.59
P001,2025-03-05 02:00:00,54.01,53.44,4.54,0,2.59
P001,2025-03-05 03:00:00,50.92,50.06,4.75,0,2.59
P001,2025-03-05 04:00:00,67.6,66.29,4.59,0,2.59
P001,2025-03-05 05:00:00,66.37,65.57,4.67,0,2.59
P001,2025-03-05 06:00:00,77.75,76.44,4.59,0,2.59
P001,2025-03-05 07:00:00,76.73,75.35,5.06,0,2.59
P001,2025-03-05 08:00:00,66.76,65.34,4.73,0,2.59
P001,2025-03-05 09:00:00,67.85,67.09,4.67,0,2.59
P001,2025-03-05 10:00:00,64.91,63.12,4.77,0,2.59
P001,2025-03-05 11:00:00,62.6,61.79,4.49,0,2.59
P001,2025-03-05 12:00:00,53.51,52.96,4.78,0,2.59
P001,2025-03-05 13:00:00,53.57,52.07,4.89,0,2.59
P001,2025-03-05 14:00:00,59.1,58.46,5.03,0,2.59
P001,2025-03-05 15:00:00,48.91,48.15,4.81,0,2.59
P001,2025-03-05 16:00:00,65.69,64.58,4.73,0,2.59
P001,2025-03-05 17:00:00,61.52,59.9,4.6,0,2.59
P001,2025-03-05 18:00:00,80.26,77.86,4.64,0,2.59
P001,2025-03-05 19:00:00,75.71,73.67,4.64,0,2.59
P001,2025-03-05 20:00:00,71.87,70.17,4.52,0,2.59
P001,2025-03-05 21:00:00,58.82,57.84,4.83,0,2.59
P001,2025-03-05 22:00:00,47.27,46.33,4.96,0,2.59
P001,2025-03-05 23:00:00,56.8,55.34,4.54,0,2.59
P001,2025-03-06 00:00:00,51.52,50.69,4.67,0,2.59
P001,2025-03-06 01:00:00,45.45,44.73,4.92,0,2.59
P001,2025-03-06 02:00:00,53.85,52.75,4.65,0,2.59
P001,2025-03-06 03:00:00,49.93,48.92,5.01,0,2.59
P001,2025-03-06 04:00:00,61.43,60.72,4.75,0,2.59
P001,2025-03-06 05:00:00,64.0,62.87,4.62,0,2.59
P001,2025-03-06 06:00:00,87.07,85.29,4.84,0,2.59
P001,2025-03-06 07:00:00,79.73,78.3,4.53,0,2.59
P001,2025-03-06 08:00:00,73.8,72.93,4.8,0,2.59
P001,2025-03-06 09:00:00,73.73,72.9,4.76,0,2.59
P001,2025-03-06 10:00:00,65.16,64.38,4.76,0,2.59
P001,2025-03-06 11:00:00,59.08,57.38,4.7,0,2.59
P001,2025-03-06 12:00:00,56.58,55.01,4.67,0,2.59
P001,2025-03-06 13:00:00,54.63,53.58,4.77,0,2.59
P001,2025-03-06 14:00:00,41.19,40.31,4.63,0,2.59
P001,2025-03-06 15:00:00,47.21,45.84,5.13,0,2.59
P001,2025-03-06 16:00:00,62.54,61.59,4.66,0,2.59
P001,2025-03-06 17:00:00,59.19,57.7,4.75,0,2.59
P001,2025-03-06 18:00:00,74.26,72.56,4.66,0,2.59
P001,2025-03-06 19:00:00,75.35,73.89,4.92,0,2.59
P001,2025-03-06 20:00:00,67.27,65.77,4.66,0,2.59
P001,2025-03-06 21:00:00,58.19,56.73,4.93,0,2.59
P001,2025-03-06 22:00:00,47.18,46.09,4.68,0,2.59
P001,2025-03-06 23:00:00,63.43,61.85,4.39,0,2.59
P001,2025-03-07 00:00:00,51.69,50.14,4.83,0,2.59
P001,2025-03-07 01:00:00,52.88,51.62,4.87,0,2.59
P001,2025-03-07 02:00:00,52.28,51.53,4.76,0,2.59
P001,2025-03-07 03:00:00,46.13,45.32,4.72,0,2.59
P001,2025-03-07 04:00:00,60.39,58.67,4.63,0,2.59
P001,2025-03-07 05:00:00,63.76,63.1,4.82,0,2.59
P001,2025-03-07 06:00:00,80.2,78.46,4.62,0,2.59
P001,2025-03-07 07:00:00,78.79,77.13,4.79,0,2.59
P001,2025-03-07 08:00:00,72.91,70.82,4.74,0,2.59
P001,2025-03-07 09:00:00,69.21,67.36,5.03,0,2.59
P001,2025-03-07 10:00:00,58.39,57.72,4.48,0,2.59
P001,2025-03-07 11:00:00,46.42,45.96,4.64,0,2.59
P001,2025-03-07 12:00:00,49.65,48.59,4.91,0,2.59
P001,2025-03-07 13:00:00,62.12,60.36,4.71,0,2.59
P001,2025-03-07 14:00:00,54.76,53.19,4.95,0,2.59
P001,2025-03-07 15:00:00,58.63,57.99,4.69,0,2.59
P001,2025-03-07 16:00:00,59.4,58.33,4.74,0,2.59
P001,2025-03-07 17:00:00,73.72,72.26,4.9,0,2.59
P001,2025-03-07 18:00:00,76.62,74.75,4.81,0,2.59
P001,2025-03-07 19:00:00,75.08,73.84,4.72,0,2.59
P001,2025-03-07 20:00:00,65.79,64.8,4.84,0,2.59
P001,2025-03-07 21:00:00,63.51,61.85,4.87,0,2.59
P001,2025-03-07 22:00:00,50.38,49.07,4.59,0,2.59
P001,2025-03-07 23:00:00,60.03,59.25,4.97,0,2.59
P001,2025-03-08 00:00:00,54.27,53.42,4.61,0,2.59
P001,2025-03-08 01:00:00,55.75,54.57,4.62,0,2.59
P001,2025-03-08 02:00:00,56.75,55.32,4.58,0,2.59
P001,2025-03-08 03:00:00,51.74,50.86,4.37,0,2.59
P001,2025-03-08 04:00:00,54.32,53.01,4.84,0,2.59
P001,2025-03-08 05:00:00,78.05,77.17,4.92,0,2.59
P001,2025-03-08 06:00:00,80.42,78.04,4.52,0,2.59
P001,2025-03-08 07:00:00,77.92,77.05,5.0,0,2.59
P001,2025-03-08 08:00:00,76.66,74.98,4.56,0,2.59
P001,2025-03-08 09:00:00,65.91,64.84,4.43,0,2.59
P001,2025-03-08 10:00:00,64.11,63.17,4.45,0,2.59
P001,2025-03-08 11:00:00,46.93,46.02,4.74,0,2.59
P001,2025-03-08 12:00:00,45.15,43.96,4.77,0,2.59
P001,2025-03-08 13:00:00,55.29,54.03,4.66,0,2.59
P001,2025-03-08 14:00:00,58.98,57.4,4.85,0,2.59
P001,2025-03-08 15:00:00,57.77,57.12,4.94,0,2.59
P001,2025-03-08 16:00:00,60.97,59.69,4.69,0,2.59
P001,2025-03-08 17:00:00,68.25,67.28,4.56,0,2.59
P001,2025-03-08 18:00:00,76.58,74.56,4.89,0,2.59
P001,2025-03-08 19:00:00,72.88,71.15,4.65,0,2.59
P001,2025-03-08 20:00:00,72.91,71.59,4.54,0,2.59
P001,2025-03-08 21:00:00,64.35,63.67,4.93,0,2.59
P001,2025-03-08 22:00:00,54.85,53.27,4.95,0,2.59
P001,2025-03-08 23:00:00,57.31,56.3,4.83,0,2.59
P001,2025-03-09 00:00:00,47.12,45.91,4.61,0,2.59
P001,2025-03-09 01:00:00,48.94,48.37,5.0,0,2.59
P001,2025-03-09 02:00:00,48.03,32.66,3.93,1,2.59
P001,2025-03-09 03:00:00,54.49,53.81,4.92,0,2.59
P001,2025-03-09 04:00:00,60.72,59.49,5.02,0,2.59
P001,2025-03-09 05:00:00,71.36,70.51,4.78,0,2.59
P001,2025-03-09 06:00:00,74.98,73.25,4.82,0,2.59
P001,2025-03-09 07:00:00,72.32,71.16,5.0,0,2.59
P001,2025-03-09 08:00:00,80.7,78.81,4.87,0,2.59
P001,2025-03-09 09:00:00,67.81,66.72,4.95,0,2.59
P001,2025-03-09 10:00:00,58.62,57.09,4.66,0,2.59
P001,2025-03-09 11:00:00,54.24,53.46,4.88,0,2.59
P001,2025-03-09 12:00:00,47.96,47.26,4.61,0,2.59
P001,2025-03-09 13:00:00,46.56,45.68,4.67,0,2.59
P001,2025-03-09 14:00:00,57.18,56.38,4.77,0,2.59
P001,2025-03-09 15:00:00,49.21,48.07,5.1,0,2.59
P001,2025-03-09 16:00:00,53.45,52.33,4.67,0,2.59
P001,2025-03-09 17:00:00,61.6,60.5,4.64,0,2.59
P001,2025-03-09 18:00:00,72.12,70.52,4.71,0,2.59
P001,2025-03-09 19:00:00,70.08,68.98,4.79,0,2.59
P001,2025-03-09 20:00:00,74.16,73.12,4.84,0,2.59
P001,2025-03-09 21:00:00,66.68,64.94,4.81,0,2.59
P001,2025-03-09 22:00:00,63.16,61.66,4.64,0,2.59
P001,2025-03-09 23:00:00,65.37,63.75,5.0,0,2.59
P001,2025-03-10 00:00:00,54.46,53.58,4.69,0,2.59
P001,2025-03-10 01:00:00,40.78,39.68,4.48,0,2.59
P001,2025-03-10 02:00:00,49.87,49.05,5.0,0,2.59
P001,2025-03-10 03:00:00,53.04,52.01,4.6,0,2.59
P001,2025-03-10 04:00:00,55.1,54.52,5.0,0,2.59
P001,2025-03-10 05:00:00,66.75,65.51,4.98,0,2.59
P001,2025-03-10 06:00:00,71.45,69.39,4.62,0,2.59
P001,2025-03-10 07:00:00,77.59,76.59,4.82,0,2.59
P001,2025-03-10 08:00:00,80.19,79.0,4.63,0,2.59
P001,2025-03-10 09:00:00,64.95,63.03,4.52,0,2.59
P001,2025-03-10 10:00:00,52.13,51.5,4.6,0,2.59
P001,2025-03-10 11:00:00,61.43,59.82,4.6,0,2.59
P001,2025-03-10 12:00:00,51.9,51.32,4.69,0,2.59
P001,2025-03-10 13:00:00,46.01,44.8,4.83,0,2.59
P001,2025-03-10 14:00:00,49.23,48.16,4.88,0,2.59
P001,2025-03-10 15:00:00,59.89,44.19,3.98,1,2.59
P001,2025-03-10 16:00:00,58.46,56.82,4.68,0,2.59
P001,2025-03-10 17:00:00,67.88,67.09,5.04,0,2.59
P001,2025-03-10 18:00:00,77.66,75.78,4.75,0,2.59
P001,2025-03-10 19:00:00,64.46,63.67,4.74,0,2.59
P001,2025-03-10 20:00:00,62.17,61.5,4.5,0,2.59
P001,2025-03-10 21:00:00,62.23,60.43,4.76,0,2.59
P001,2025-03-10 22:00:00,56.5,55.11,4.93,0,2.59
P001,2025-03-10 23:00:00,54.88,53.54,4.64,0,2.59
P001,2025-03-11 00:00:00,53.54,52.16,4.63,0,2.59
P001,2025-03-11 01:00:00,50.9,50.02,4.39,0,2.59
P001,2025-03-11 02:00:00,47.36,46.48,4.92,0,2.59
P001,2025-03-11 03:00:00,56.16,54.85,4.78,0,2.59
P001,2025-03-11 04:00:00,62.61,61.9,4.92,0,2.59
P001,2025-03-11 05:00:00,67.76,65.96,4.66,0,2.59
P001,2025-03-11 06:00:00,80.27,78.12,4.71,0,2.59
P001,2025-03-11 07:00:00,77.18,76.38,4.69,0,2.59
P001,2025-03-11 08:00:00,78.64,77.75,4.47,0,2.59
