asset_id,date,vibration_mm_s,temperature_c,current_a,hours_since_maintenance,asset_age_days,failure_within_7d
A001,2025-02-01,2.783,53.9,52.37,1985,200,0
A001,2025-02-02,2.741,54.41,49.23,304,200,0
A001,2025-02-03,2.926,56.76,54.61,1514,200,0
A001,2025-02-04,3.148,53.69,46.85,1466,200,0
A001,2025-02-05,2.96,58.92,54.31,1284,200,0
A001,2025-02-06,2.547,58.46,48.21,624,200,0
A001,2025-02-07,4.372,57.85,49.23,802,200,0
A001,2025-02-08,3.386,53.78,46.24,812,200,0
A001,2025-02-09,3.379,54.86,53.0,945,200,0
A001,2025-02-10,2.436,61.58,48.98,736,200,0
A001,2025-02-11,3.242,56.32,51.14,407,200,0
A001,2025-02-12,3.541,56.46,49.43,901,200,0
A001,2025-02-13,3.369,55.86,43.24,457,200,0
A001,2025-02-14,3.428,60.0,53.99,893,200,0
A001,2025-02-15,3.883,59.95,49.92,363,200,0
A001,2025-02-16,2.674,61.32,52.65,1588,200,0
A001,2025-02-17,3.102,56.08,54.11,1278,200,0
A001,2025-02-18,3.401,55.09,52.51,1055,200,0
A001,2025-02-19,3.295,54.48,47.49,138,200,0
A001,2025-02-20,3.58,56.89,50.6,474,200,0
A001,2025-02-21,3.0,52.07,56.12,844,200,0
A001,2025-02-22,2.827,56.73,53.0,1857,200,0
A001,2025-02-23,2.924,53.33,48.57,974,200,0
A001,2025-02-24,3.811,54.63,50.12,1713,200,0
A001,2025-02-25,3.34,54.59,54.49,1675,200,0
A001,2025-02-26,3.527,57.35,52.8,297,200,0
A001,2025-02-27,3.103,55.06,54.83,1302,200,0
A001,2025-02-28,3.311,54.04,49.07,150,200,0
A001,2025-03-01,2.742,50.84,47.92,1728,200,0
A001,2025-03-02,3.653,57.36,51.34,1443,200,0
A001,2025-03-03,2.606,56.44,48.24,142,200,0
A001,2025-03-04,3.705,58.5,47.99,400,200,0
A001,2025-03-05,2.834,54.92,47.15,1614,200,0
A001,2025-03-06,3.797,55.81,49.77,1720,200,0
A001,2025-03-07,3.508,55.58,47.65,924,200,0
A001,2025-03-08,3.176,56.49,55.67,441,200,0
A001,2025-03-09,3.274,53.79,48.22,1907,200,0
A001,2025-03-10,3.42,56.86,51.74,868,200,0
A001,2025-03-11,2.967,55.9,51.55,845,200,0
A001,2025-03-12,3.821,56.57,55.66,1765,200,0
A001,2025-03-13,3.793,57.16,50.96,172,200,0
A001,2025-03-14,2.931,56.91,46.04,549,200,0
A001,2025-03-15,2.88,60.41,47.07,305,200,0
A001,2025-03-16,3.888,56.6,49.67,198,200,0
A001,2025-03-17,3.536,59.15,47.09,1035,200,0
A001,2025-03-18,2.972,57.17,47.42,1794,200,0
A001,2025-03-19,2.861,56.1,55.21,1554,200,0
A001,2025-03-20,2.699,56.21,58.44,1341,200,0
A001,2025-03-21,3.27,63.63,51.17,1774,200,0
A001,2025-03-22,3.767,53.28,47.91,540,200,0
A001,2025-03-23,3.629,50.91,50.52,1027,200,0
A001,2025-03-24,3.286,53.73,51.46,397,200,0
A001,2025-03-25,3.185,58.16,43.68,560,200,0
A001,2025-03-26,3.322,57.25,46.14,1952,200,0
A001,2025-03-27,3.549,61.09,48.7,166,200,0
A001,2025-03-28,2.58,57.9,48.94,491,200,0
A001,2025-03-29,3.278,56.65,55.84,177,200,0
A001,2025-03-30,2.689,54.29,49.12,606,200,0
A001,2025-03-31,3.515,57.63,45.85,983,200,0
A001,2025-04-01,3.734,53.22,50.06,1229,200,0
A002,2025-02-01,2.983,58.89,50.41,1148,378,0
A002,2025-02-02,3.347,56.92,49.63,572,378,0
A002,2025-02-03,2.902,60.81,49.1,1596,378,0
A002,2025-02-04,3.434,58.0,50.83,1659,378,0
A002,2025-02-05,3.708,58.42,50.34,1861,378,0
A002,2025-02-06,3.123,54.41,48.57,573,378,0
A002,2025-02-07,3.162,54.13,52.18,1159,378,0
A002,2025-02-08,2.712,57.48,51.08,1465,378,0
A002,2025-02-09,3.186,54.01,54.59,629,378,0
A002,2025-02-10,4.09,58.05,50.01,837,378,0
A002,2025-02-11,3.573,57.02,49.21,670,378,0
A002,2025-02-12,3.537,57.31,52.92,1025,378,0
A002,2025-02-13,3.722,60.28,53.71,1197,378,0
A002,2025-02-14,2.932,55.59,49.43,1222,378,0
A002,2025-02-15,3.271,61.13,51.34,1816,378,0
A002,2025-02-16,3.157,56.99,49.72,264,378,0
