timestamp,station_id,latitude,longitude,temperature_C,pH,conductivity_uScm,dissolved_oxygen_mgL,turbidity_NTU,nitrate_mgL,phosphate_mgL,ammonia_mgL,orp_mV,chlorine_mgL,total_coliforms_CFU_100mL,e_coli_CFU_100mL
2025-08-01T00:00:00,WTP-01,24.7136,46.6753,25.3,7.19,675.9,8.26,1.36,5.813,0.329,0.065,240.6,0.553,3,0
2025-08-01T03:00:00,WTP-01,24.7136,46.6753,25.55,7.25,682.7,6.6,1.74,5.406,0.215,0.007,237.4,0.639,29,0
2025-08-01T06:00:00,WTP-01,24.7136,46.6753,27.31,7.22,626.0,7.15,1.64,7.482,0.249,0.029,266.5,0.404,5,0
2025-08-01T09:00:00,WTP-01,24.7136,46.6753,27.25,7.24,609.6,6.57,1.96,5.569,0.183,0.032,227.4,0.689,7,0
2025-08-01T12:00:00,WTP-01,24.7136,46.6753,24.5,7.18,663.3,7.99,1.21,5.851,0.195,0.026,266.3,0.7,4,0
2025-08-01T15:00:00,WTP-01,24.7136,46.6753,23.46,7.24,709.8,7.81,3.52,5.264,0.23,0.049,221.6,0.602,9,0
2025-08-01T18:00:00,WTP-01,24.7136,46.6753,22.89,7.17,617.7,7.45,2.05,6.263,0.224,0.06,251.9,0.567,3,0
2025-08-01T21:00:00,WTP-01,24.7136,46.6753,23.64,7.19,543.8,7.81,1.26,5.769,0.273,0.047,254.3,0.74,2,0
2025-08-02T00:00:00,WTP-01,24.7136,46.6753,23.85,7.2,652.4,8.73,1.38,6.241,0.248,0.027,272.9,0.509,8,0
2025-08-02T03:00:00,WTP-01,24.7136,46.6753,27.96,7.27,614.8,7.4,1.7,6.739,0.335,0.067,250.2,0.478,7,0
2025-08-02T06:00:00,WTP-01,24.7136,46.6753,27.45,7.28,618.7,7.14,2.49,5.015,0.261,0.076,217.9,0.678,5,0
2025-08-02T09:00:00,WTP-01,24.7136,46.6753,27.9,7.16,674.7,7.97,1.64,6.678,0.259,0.026,271.0,0.505,8,0
2025-08-02T12:00:00,WTP-01,24.7136,46.6753,25.7,7.16,688.5,7.71,1.99,7.517,0.238,0.035,232.2,0.634,4,0
2025-08-02T15:00:00,WTP-01,24.7136,46.6753,23.6,7.23,759.4,7.69,0.66,5.972,0.202,0.07,250.8,0.674,4,0
2025-08-02T18:00:00,WTP-01,24.7136,46.6753,21.49,7.12,632.1,8.13,1.63,5.003,0.259,0.058,232.3,0.486,5,0
2025-08-02T21:00:00,WTP-01,24.7136,46.6753,23.4,7.25,611.6,8.33,2.04,5.517,0.265,0.055,250.5,0.601,13,0
2025-08-03T00:00:00,WTP-01,24.7136,46.6753,25.57,7.23,637.4,7.88,1.04,5.811,0.226,0.052,296.3,0.439,8,0
2025-08-03T03:00:00,WTP-01,24.7136,46.6753,26.59,7.18,712.4,7.42,2.33,4.983,0.369,0.087,277.3,0.644,5,0
2025-08-03T06:00:00,WTP-01,24.7136,46.6753,27.6,7.24,618.3,7.24,2.3,6.693,0.19,0.043,240.5,0.64,17,0
2025-08-03T09:00:00,WTP-01,24.7136,46.6753,27.35,7.28,596.9,8.28,1.06,4.976,0.238,0.087,249.6,0.589,2,0
2025-08-03T12:00:00,WTP-01,24.7136,46.6753,25.98,7.13,632.4,7.57,2.36,4.851,0.308,0.05,230.4,0.54,5,0
2025-08-03T15:00:00,WTP-01,24.7136,46.6753,23.27,7.21,574.1,8.28,1.13,7.689,0.284,0.051,258.8,0.621,3,0
2025-08-03T18:00:00,WTP-01,24.7136,46.6753,21.65,7.24,664.3,7.35,2.04,6.246,0.291,0.063,233.4,0.661,8,0
2025-08-03T21:00:00,WTP-01,24.7136,46.6753,21.81,7.14,623.2,8.22,2.43,5.648,0.23,0.055,250.2,0.695,3,0
2025-08-04T00:00:00,WTP-01,24.7136,46.6753,25.19,7.19,653.9,7.8,1.01,7.674,0.2,0.026,273.2,0.663,7,0
2025-08-04T03:00:00,WTP-01,24.7136,46.6753,26.7,7.2,566.4,8.24,1.81,6.643,0.281,0.077,241.3,0.687,7,0
2025-08-04T06:00:00,WTP-01,24.7136,46.6753,27.13,7.13,621.3,7.19,2.19,7.18,0.293,0.047,249.6,0.571,4,0
2025-08-04T09:00:00,WTP-01,24.7136,46.6753,27.88,7.24,669.7,7.4,0.63,5.325,0.233,0.059,251.4,0.605,6,0
2025-08-04T12:00:00,WTP-01,24.7136,46.6753,25.87,7.25,736.1,7.12,2.02,6.147,0.359,0.034,233.2,0.547,1,0
2025-08-04T15:00:00,WTP-01,24.7136,46.6753,21.73,7.22,672.9,8.13,1.95,7.181,0.285,0.047,248.5,0.49,6,0
2025-08-04T18:00:00,WTP-01,24.7136,46.6753,21.93,7.26,586.2,7.4,1.5,6.038,0.227,0.062,228.6,0.651,5,0
2025-08-04T21:00:00,WTP-01,24.7136,46.6753,23.51,7.28,616.9,7.49,1.65,7.638,0.256,0.081,253.4,0.617,10,0
2025-08-05T00:00:00,WTP-01,24.7136,46.6753,25.39,7.27,611.4,7.84,2.14,4.593,0.191,0.009,244.6,0.607,14,0
2025-08-05T03:00:00,WTP-01,24.7136,46.6753,27.71,7.22,649.4,7.76,1.83,4.668,0.25,0.058,272.5,0.592,4,0
2025-08-05T06:00:00,WTP-01,24.7136,46.6753,28.22,7.15,629.4,6.77,1.96,6.764,0.201,0.06,239.4,0.496,4,0
2025-08-05T09:00:00,WTP-01,24.7136,46.6753,27.16,7.09,645.9,7.38,1.81,6.964,0.293,0.038,235.3,0.477,3,0
2025-08-05T12:00:00,WTP-01,24.7136,46.6753,24.09,7.27,715.8,7.38,1.85,6.249,0.404,0.072,247.4,0.62,1,0
2025-08-05T15:00:00,WTP-01,24.7136,46.6753,22.77,7.2,607.5,7.31,1.04,5.719,0.261,0.068,271.1,0.6,2,0
2025-08-05T18:00:00,WTP-01,24.7136,46.6753,22.91,7.23,608.5,7.6,0.97,4.894,0.296,0.088,222.0,0.551,3,0
2025-08-05T21:00:00,WTP-01,24.7136,46.6753,22.38,7.17,549.9,7.98,1.73,5.932,0.262,0.055,235.5,0.621,7,0
